epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,357.386,1.95202,4.44732,1.6268,0.00195,0.77005,0.02793,0.02016,1.63167,4.78598,1.61216,0.000653061,0.000653061,0.000653061
2,381.504,1.87088,3.40002,1.58351,0.47651,0.27273,0.26834,0.11914,1.79544,3.2365,1.70684,0.00130666,0.00130666,0.00130666
3,408.99,1.93379,3.08614,1.62907,0.34223,0.26433,0.22818,0.10155,1.98435,3.83026,1.96737,0.00194706,0.00194706,0.00194706
4,434.282,1.92127,2.72392,1.6778,0.30537,0.29621,0.21524,0.07838,2.14741,3.02853,2.11502,0.0019406,0.0019406,0.0019406
5,458.724,1.95486,2.46471,1.6899,0.349,0.16043,0.15928,0.07626,1.77039,4.31635,1.7216,0.0019208,0.0019208,0.0019208
6,482.478,1.85625,2.26822,1.59818,0.4634,0.45257,0.41462,0.19531,1.78007,2.09417,1.63067,0.001901,0.001901,0.001901
7,507.96,1.80211,2.16772,1.57175,0.52542,0.42036,0.42393,0.21791,1.59574,2.58311,1.57696,0.0018812,0.0018812,0.0018812
8,533.193,1.804,2.08928,1.59258,0.42995,0.40107,0.33641,0.16465,1.67561,2.46232,1.63658,0.0018614,0.0018614,0.0018614
9,556.88,1.7863,2.02488,1.58374,0.45335,0.51872,0.43277,0.21394,1.64922,2.44255,1.58884,0.0018416,0.0018416,0.0018416
10,583.959,1.76896,1.9746,1.54996,0.53231,0.44385,0.47393,0.21203,1.74604,1.88453,1.64596,0.0018218,0.0018218,0.0018218
11,608.665,1.73012,1.89657,1.50834,0.62302,0.45455,0.53824,0.28689,1.61509,1.74897,1.5321,0.001802,0.001802,0.001802
12,634.391,1.68161,1.8321,1.46773,0.47586,0.49522,0.47444,0.26022,1.5793,3.11099,1.48656,0.0017822,0.0017822,0.0017822
13,658.961,1.68034,1.9016,1.4873,0.52425,0.51267,0.47844,0.27058,1.56131,2.00259,1.47601,0.0017624,0.0017624,0.0017624
14,684.165,1.66701,1.83401,1.48471,0.61716,0.51872,0.57783,0.30255,1.52128,1.74719,1.44363,0.0017426,0.0017426,0.0017426
